Date,Open,High,Low,Close,Volume,Adj Close
2014-09-09,46.70,46.70,45.80,45.90,21800,45.90
2014-09-08,46.19,46.77,46.19,46.77,23200,46.77
2014-09-05,46.36,47.09,45.46,46.27,50900,46.27
2014-09-04,47.48,47.57,46.53,46.66,35500,46.66
2014-09-03,47.83,47.84,47.28,47.35,31100,47.35
2014-09-02,48.08,48.12,47.41,47.60,52500,47.60
2014-08-29,47.38,47.83,47.24,47.78,44200,47.78
2014-08-28,47.14,47.55,47.08,47.17,31100,47.17
2014-08-27,47.54,47.58,47.18,47.29,37600,47.29
2014-08-26,47.13,47.61,47.03,47.49,61400,47.49
2014-08-25,46.61,47.15,46.61,47.03,76100,47.03
2014-08-22,45.56,45.87,45.24,45.69,102300,45.69
2014-08-21,45.90,46.01,45.46,45.49,28000,45.49
2014-08-20,46.00,46.12,45.62,45.83,54700,45.83
2014-08-19,46.32,46.33,45.86,46.11,55700,46.11
2014-08-18,46.10,46.30,46.00,46.20,67700,46.20
2014-08-15,45.86,45.88,44.85,45.72,113800,45.72
2014-08-14,44.98,45.50,44.98,45.50,96800,45.50
2014-08-13,44.22,45.09,44.22,45.02,128600,45.02
2014-08-12,44.43,44.49,44.12,44.30,29300,44.30
2014-08-11,44.27,44.63,43.94,44.37,33900,44.37
2014-08-08,43.43,44.02,43.20,43.93,43800,43.93
2014-08-07,43.92,43.97,43.21,43.34,27900,43.34
2014-08-06,43.29,44.08,43.21,43.74,37500,43.74
2014-08-05,43.10,43.68,43.00,43.55,46300,43.55
2014-08-04,43.28,43.40,42.77,43.28,30200,43.28
2014-08-01,43.02,43.45,42.52,42.99,35800,42.99
2014-07-31,43.72,43.72,42.95,42.99,55300,42.99
2014-07-30,44.45,44.71,43.99,44.07,41600,44.07
2014-07-29,43.29,44.03,43.29,43.88,47600,43.88
2014-07-28,43.26,43.30,42.67,43.07,48900,43.07
2014-07-25,43.47,43.47,42.95,43.35,27100,43.35
2014-07-24,43.90,43.93,43.26,43.36,26800,43.36
2014-07-23,43.28,43.82,43.06,43.81,53600,43.81
2014-07-22,42.68,43.00,42.63,42.72,51700,42.72
2014-07-21,42.18,42.43,42.03,42.37,46000,42.37
2014-07-18,41.44,42.39,41.32,42.30,60200,42.30
2014-07-17,41.96,42.30,41.19,41.28,96900,41.28
2014-07-16,42.79,42.79,42.10,42.15,61700,42.15
2014-07-15,43.59,43.59,42.33,42.46,51800,42.46
2014-07-14,43.82,43.82,43.45,43.54,28800,43.54
2014-07-11,43.14,43.52,42.92,43.41,29700,43.41
2014-07-10,42.43,43.34,42.28,43.13,36600,43.13
2014-07-09,43.12,43.27,42.47,43.16,47700,43.16
2014-07-08,43.80,43.80,42.85,42.97,50400,42.97
2014-07-07,44.75,44.86,43.88,43.89,52100,43.89
2014-07-03,44.82,44.94,44.51,44.88,47600,44.88
2014-07-02,44.62,45.00,44.57,44.71,116900,44.71
2014-07-01,43.89,44.74,43.82,44.62,42800,44.62
2014-06-30,43.67,44.00,43.67,43.71,24200,43.71
2014-06-27,43.61,43.78,43.30,43.78,26700,43.78
2014-06-26,43.73,43.79,43.23,43.69,21900,43.69
2014-06-25,43.37,43.88,43.27,43.76,44600,43.76
2014-06-24,43.96,44.32,43.35,43.44,50300,43.44
2014-06-23,44.26,44.36,43.70,43.81,58200,43.81
2014-06-20,44.10,44.21,43.82,44.18,35200,44.18
2014-06-19,44.27,44.34,43.91,44.17,24300,43.94
2014-06-18,43.94,44.12,43.52,44.08,75000,43.85
2014-06-17,44.07,44.18,43.66,43.90,31800,43.67
2014-06-16,43.59,44.30,43.59,44.02,43900,43.79
2014-06-13,43.74,43.74,43.31,43.65,43400,43.42
2014-06-12,43.70,43.89,43.45,43.56,67100,43.33
2014-06-11,43.45,43.98,43.39,43.66,52600,43.43
2014-06-10,43.56,43.77,43.28,43.66,81200,43.43
2014-06-09,43.12,43.88,43.11,43.52,187300,43.29
2014-06-06,40.50,40.50,40.15,40.39,31900,40.18
2014-06-05,39.78,40.56,39.66,40.26,53000,40.05
2014-06-04,39.27,39.69,38.98,39.67,65300,39.46
2014-06-03,39.25,39.40,38.94,39.34,132400,39.13
2014-06-02,39.52,39.52,38.65,39.23,26200,39.02
2014-05-30,39.72,39.72,39.23,39.39,26800,39.18
2014-05-29,39.65,39.80,39.57,39.63,32600,39.42
2014-05-28,39.74,39.78,39.40,39.51,30200,39.30
2014-05-27,38.90,39.70,38.87,39.69,50400,39.48
2014-05-23,38.73,38.88,38.44,38.65,34100,38.45
2014-05-22,38.13,39.05,38.13,38.71,36500,38.50
